update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,1792,433.61433128992917,13,0.0,0.0,0.0,0.0,134.0,0.0,134.0,134.0,1.9155094623565674,0.013640454038977623,0.00602480536326766,6.830402708146721e-05,0.005361292773077603,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,1920,410.44329513075803,14,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.921877145767212,0.0013411251129582524,0.002404361730441451,6.142212805571035e-05,0.009410144966513672,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
16,2048,388.0585914206143,15,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9108551740646362,0.0035315018612891436,0.0016744242748245597,1.333811815129593e-05,0.003679528953518052,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
17,2176,408.7057068121816,16,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.929953932762146,-0.0014608516357839108,0.0009975603315979242,8.069506293395534e-05,0.005911107825117965,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
18,2304,379.65957633381305,17,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9296320676803589,-0.0019654417410492897,-0.00015193656145129353,3.4729789604170946e-06,0.0022898997371075995,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
19,2432,377.53307689603037,18,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,1.9337210655212402,-0.003364718286320567,-0.0013338557910174131,1.2018962479487527e-05,0.002218373890812942,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
20,2560,392.31585731760964,19,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9386061429977417,0.001287825871258974,0.0005487665766850114,3.2830523650773102e-06,0.0011831285344560496,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
21,2688,420.3680177270396,19,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9351370334625244,-0.0021993129048496485,-0.0009359705145470798,5.668786616297439e-05,0.004375451681066083,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
22,2816,419.0045211858884,19,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.928276777267456,-0.00011551773059181869,0.001556456321850419,9.079065785044804e-05,0.009498842150267448,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
23,2944,424.2090486503827,21,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9388434886932373,-0.008290736004710197,-0.0006066939095035195,4.355310375103727e-05,0.006730917892402423,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
24,3072,415.4887748492233,22,0.2152000069618225,0.0,0.2152000069618225,0.2152000069618225,358.0,0.0,358.0,358.0,1.9396971464157104,0.01858246512711048,-0.02876186929643154,0.0025683585554361343,0.01440806172624374,0.2152000069618225,0.0,0.2152000069618225,0.2152000069618225
