13,1664,532.0073012519547,8,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9453828930854797,-0.0009532107214909047,0.000630978487606626,3.3496670539534534e-06,0.0002271107116705126,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,1792,482.1216585739956,8,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9454329013824463,-0.002230239857453853,2.0298905837989878e-05,3.8944093603277e-06,0.0004506722669141925,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,1920,459.55729112721326,9,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9454309046268463,-0.00011170814900651749,-0.0004989394947187975,4.35708420809533e-06,0.0014577605843438264,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
16,2048,246.56456286267368,10,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.945480853319168,-0.0006730639142915606,-0.00039669524267083034,2.604479732326581e-06,0.00026912357287461685,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
17,2176,498.12015283068934,10,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9455704987049103,-7.862423603910429e-05,-0.00011498409912746865,1.066096388058213e-06,0.0005821044291323038,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
18,2304,484.080046598272,11,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9457208812236786,-3.915695006284636e-05,0.00030469057674054056,1.5609954573392315e-06,0.0008794858644928094,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
19,2432,273.2153587004646,11,0.0,0.0,0.0,0.0,1531.0,0.0,1531.0,1531.0,1.945814847946167,3.735376594704576e-05,-0.00015875113786023576,1.0021436906981762e-06,0.0005032037328938197,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
20,2560,250.66178108836715,12,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9458476901054382,0.0002093077237077523,-0.00028571470465976745,9.80519999416174e-07,0.0001997419024422152,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
21,2688,294.1826124217653,13,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.945837289094925,0.000844390902784653,0.00035439342173049226,1.1980372960351815e-06,0.0002807829291260375,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
22,2816,268.8735855075846,14,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.945824772119522,0.00045212870463728905,-0.00020062995281477924,1.0337185045727892e-06,0.00022037684745933387,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
23,2944,363.1257643876681,15,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9458131790161133,0.0002689119355636649,0.0002825300362019334,1.013843586861185e-06,0.0004938607704479814,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
24,3072,337.450493475017,15,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9457748532295227,-0.0001429778894816991,0.00020996396051486954,3.801469006248226e-06,0.000540745770221655,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
25,3200,309.35437833053675,16,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9457047581672668,-0.00024176760416594334,-7.733940219623037e-05,8.44634030272573e-07,0.0003471173243322629,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
26,3328,297.72075840001776,16,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9456942677497864,-0.0004254614032106474,8.824542078400555e-06,5.325130985056603e-07,0.00023112746601667314,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
27,3456,255.85981801466997,17,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9457745850086212,-0.000177565681951819,-0.00013863914864487015,6.902454003920866e-07,0.0003779841833625479,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
28,3584,266.6950044012773,18,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9458653628826141,0.00018603493299451657,-0.00028458853921620175,5.149966000317363e-07,0.00022948573787249076,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
29,3712,351.96918185185547,19,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9458771347999573,-4.236496715748217e-05,-3.342800664540846e-05,1.0026799799334185e-06,0.00016191133994613834,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
30,3840,333.43927616963157,20,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9458777606487274,0.0006337735831039026,-5.639997061734903e-05,6.021418670343337e-07,0.00011808300849546032,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
31,3968,361.9623697852582,21,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.945875495672226,0.00041625597805250436,-7.644492609415465e-05,1.0047259308976209e-06,0.00029839008804243456,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
32,4096,363.97756491307524,21,0.0,0.0,0.0,0.0,1188.0,0.0,1188.0,1188.0,1.9458766281604767,-0.0001947987129824469,0.0002303963356098393,1.090088304067649e-06,0.0005800167853250532,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
