update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,374.58679979207875,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9435169100761414,0.030279597733169794,0.0003265928717155475,0.0014963627909310162,0.06471791706206996,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,395.5316368780114,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9417510330677032,-0.0035092808539047837,0.00139339265297167,0.0001570291533425916,0.019690693147838126,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,391.97900765309475,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9414323270320892,0.016618000343441963,0.002485874225385487,4.088520563527709e-05,0.008777879419130746,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,389.3692673891191,1,0.0,0.0,0,0,0.0,0.0,0,0,1.942687749862671,0.004324693814851344,0.00154104593093507,6.727657546434784e-05,0.010127832784670674,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,397.7564048992849,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9439208209514618,0.008872505743056536,0.00036105074013903504,3.185384548487491e-05,0.005352260118441231,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,400.4078967191474,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9444320499897003,0.006012206547893584,0.0012479235447244719,5.0081034714821726e-05,0.005756437948581645,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,400.3278795118554,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9443168342113495,0.003559701086487621,0.0031097367173060775,1.576516865497979e-05,0.0020088006777502555,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,389.5797636851932,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9441307187080383,0.0017210027726832777,0.0015945217746775597,2.3497018446505535e-05,0.004032986820869259,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,391.22434714680054,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9434128403663635,0.0009001236030599102,-0.00019466211256258248,1.6366061345252092e-05,0.0017891765373090522,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,1280,387.764855434383,3,0.0,0.0,0,0,0.0,0.0,0,0,1.94380122423172,0.0008855542546370998,-0.0004784474294865504,7.355988941526448e-06,0.0006373082174102241,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
11,1408,385.93514874296505,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9443526566028595,0.001708226278424263,0.00021453449107866618,7.227174364743405e-06,0.0005974891972935341,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
12,1536,391.30561465423807,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9446203112602234,0.0005867794970981777,-0.0005386195989558473,4.076401239672123e-06,0.0006313116431210595,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
13,1664,385.52027735410616,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9448664784431458,0.003231325768865645,5.14656330778962e-05,3.2300447401212296e-06,0.0004026767924068186,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,1792,395.94031294918136,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9452203512191772,0.00047091436135815457,0.0011348979314789176,4.696449991570262e-06,0.0015236906929154833,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,1920,386.9861466013798,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9453394412994385,-0.0010499839117983356,0.0005286902960506268,3.7688587894990633e-06,0.0005472648496071584,0.0,0.0,0,0
